Epoch 600 | Loss 5.4494
Epoch 601 | Loss 5.4519
Epoch 602 | Loss 5.5260
Epoch 603 | Loss 5.4505
Epoch 604 | Loss 5.4162
Epoch 605 | Loss 5.3962
Epoch 606 | Loss 5.3531
Epoch 607 | Loss 5.4583
Epoch 608 | Loss 5.4747
Epoch 609 | Loss 5.4198
Epoch 610 | Loss 5.2498
Epoch 611 | Loss 5.2849
Epoch 612 | Loss 5.2836
Epoch 613 | Loss 5.2771
Epoch 614 | Loss 5.3527
Epoch 615 | Loss 5.3109
Epoch 616 | Loss 5.2825
Epoch 617 | Loss 5.2275
Epoch 618 | Loss 5.2309
Epoch 619 | Loss 5.2330
Epoch 620 | Loss 5.2561
Epoch 621 | Loss 5.3037
Epoch 622 | Loss 5.3001
Epoch 623 | Loss 5.3145
Epoch 624 | Loss 5.2825
Epoch 625 | Loss 5.1222
Epoch 626 | Loss 5.2076
Epoch 627 | Loss 5.2107
Epoch 628 | Loss 5.2707
Epoch 629 | Loss 5.2422
Epoch 630 | Loss 5.2172
Epoch 631 | Loss 5.1352
Epoch 632 | Loss 5.1028
Epoch 633 | Loss 5.1888
Epoch 634 | Loss 5.1326
Epoch 635 | Loss 5.2377
Epoch 636 | Loss 5.1633
Epoch 637 | Loss 5.1570
Epoch 638 | Loss 5.1896
Epoch 639 | Loss 5.1222
Epoch 640 | Loss 5.1010
Epoch 641 | Loss 5.1093
Epoch 642 | Loss 5.1143
Epoch 643 | Loss 5.0568
Epoch 644 | Loss 5.1313
Epoch 645 | Loss 5.1442
Epoch 646 | Loss 5.1158
Epoch 647 | Loss 5.0690
Epoch 648 | Loss 5.0687
Epoch 649 | Loss 5.1027
Epoch 650 | Loss 4.9452
Epoch 651 | Loss 5.0716
Epoch 652 | Loss 4.9721
Epoch 653 | Loss 5.0297
Epoch 654 | Loss 4.9729
Epoch 655 | Loss 5.0517
Epoch 656 | Loss 4.9681
Epoch 657 | Loss 4.8634
Epoch 658 | Loss 4.8693
Epoch 659 | Loss 4.9050
Epoch 660 | Loss 4.9022
Epoch 661 | Loss 4.8659
Epoch 662 | Loss 4.9281
Epoch 663 | Loss 4.8810
Epoch 664 | Loss 4.8685
Epoch 665 | Loss 5.0272
Epoch 666 | Loss 4.8917
Epoch 667 | Loss 4.9318
Epoch 668 | Loss 4.7882
Epoch 669 | Loss 4.8914
Epoch 670 | Loss 4.8917
Epoch 671 | Loss 4.8951
Epoch 672 | Loss 4.8351
Epoch 673 | Loss 4.8961
Epoch 674 | Loss 4.9264
