Loading dataset: roli
  0%|          | 0/184 [00:00<?, ?it/s] 11%|█▏        | 21/184 [00:00<00:00, 200.71it/s] 23%|██▎       | 42/184 [00:00<00:01, 103.96it/s] 34%|███▍      | 63/184 [00:00<00:00, 134.28it/s] 44%|████▍     | 81/184 [00:00<00:00, 130.95it/s] 55%|█████▌    | 102/184 [00:00<00:00, 151.91it/s] 65%|██████▍   | 119/184 [00:00<00:00, 134.47it/s] 76%|███████▌  | 139/184 [00:01<00:00, 132.08it/s] 88%|████████▊ | 161/184 [00:01<00:00, 151.52it/s] 99%|█████████▉| 183/184 [00:01<00:00, 167.17it/s]100%|██████████| 184/184 [00:01<00:00, 146.98it/s]
  0%|          | 0/50 [00:00<?, ?it/s] 24%|██▍       | 12/50 [00:00<00:00, 77.13it/s] 40%|████      | 20/50 [00:00<00:00, 72.72it/s] 82%|████████▏ | 41/50 [00:00<00:00, 123.44it/s]100%|██████████| 50/50 [00:00<00:00, 118.38it/s]
Start training.
Epoch 411 | Loss 6.7112
Epoch 412 | Loss 6.7236
Epoch 413 | Loss 6.7240
Epoch 414 | Loss 6.7222
Epoch 415 | Loss 6.7215
Epoch 416 | Loss 6.7259
Epoch 417 | Loss 6.7042
Epoch 418 | Loss 6.7344
Epoch 419 | Loss 6.7324
Epoch 420 | Loss 6.7346
Epoch 421 | Loss 6.7351
Epoch 422 | Loss 6.7402
Epoch 423 | Loss 6.7330
Epoch 424 | Loss 6.7496
Epoch 425 | Loss 6.7275
Epoch 426 | Loss 6.7429
Epoch 427 | Loss 6.7425
Epoch 428 | Loss 6.7463
Epoch 429 | Loss 6.7426
Epoch 430 | Loss 6.7264
Epoch 431 | Loss 6.7339
Epoch 432 | Loss 6.7537
Epoch 433 | Loss 6.7410
Epoch 434 | Loss 6.7604
Epoch 435 | Loss 6.7514
Epoch 436 | Loss 6.7471
Epoch 437 | Loss 6.7350
Epoch 438 | Loss 6.7428
Epoch 439 | Loss 6.7416
Epoch 440 | Loss 6.7587
Epoch 441 | Loss 6.7548
Epoch 442 | Loss 6.7447
Epoch 443 | Loss 6.7468
Epoch 444 | Loss 6.7709
Epoch 445 | Loss 6.7469
Epoch 446 | Loss 6.7486
Epoch 447 | Loss 6.7562
Epoch 448 | Loss 6.7639
Epoch 449 | Loss 6.7604
Epoch 450 | Loss 6.7605
Epoch 451 | Loss 6.7802
Epoch 452 | Loss 6.7545
Epoch 453 | Loss 6.7604
Epoch 454 | Loss 6.7525
Epoch 455 | Loss 6.7582
Epoch 456 | Loss 6.7716
Epoch 457 | Loss 6.7604
Epoch 458 | Loss 6.7600
Epoch 459 | Loss 6.7624
Epoch 460 | Loss 6.7657
Epoch 461 | Loss 6.7650
Epoch 462 | Loss 6.7687
Epoch 463 | Loss 6.7632
Epoch 464 | Loss 6.7678
Epoch 465 | Loss 6.7789
Epoch 466 | Loss 6.7687
Epoch 467 | Loss 6.7828
Epoch 468 | Loss 6.7825
Epoch 469 | Loss 6.7874
Epoch 470 | Loss 6.7863
Epoch 471 | Loss 6.7852
Epoch 472 | Loss 6.7784
Epoch 473 | Loss 6.7808
Epoch 474 | Loss 6.7818
Epoch 475 | Loss 6.7777
Epoch 476 | Loss 6.8001
Epoch 477 | Loss 6.7860
Epoch 478 | Loss 6.7857
